,0
0,0.01
1,0.01
2,0.01
3,0.01
4,0.01
5,0.01
6,0.01
7,0.01
8,0.01
9,0.01
10,0.01
11,0.01
12,0.01
13,0.01
14,0.01
15,0.01
16,0.01
17,0.01
18,0.01
19,0.01
20,0.01
21,0.01
22,0.01
23,0.01
24,0.01
25,0.01
26,0.01
27,0.01
28,0.01
29,0.01
30,0.01
31,0.01
32,0.01
33,0.01
34,0.01
35,0.01
36,0.01
37,0.01
38,0.01
39,0.01
40,0.01
41,0.01
42,0.01
43,0.01
44,0.01
45,0.01
46,0.01
47,0.01
48,0.01
49,0.01
50,0.01
51,0.01
52,0.01
53,0.01
54,0.01
55,0.01
56,0.01
57,0.01
58,0.01
59,0.01
60,0.01
61,0.01
62,0.01
63,0.01
64,0.01
65,0.01
66,0.01
67,0.01
68,0.01
69,0.01
70,0.01
71,0.01
72,0.01
73,0.01
74,0.01
75,0.01
76,0.01
77,0.01
78,0.01
79,0.01
80,0.01
81,0.01
82,0.01
83,0.01
84,0.01
85,0.01
86,0.01
87,0.01
88,0.01
89,0.01
90,0.01
91,0.01
92,0.06764705882352941
93,0.22905882352941176
94,0.2636470588235294
95,0.24827450980392157
96,0.09454901960784313
97,0.05227450980392157
98,0.01
99,0.01
100,0.01
101,0.01
102,0.01
103,0.01
104,0.01
105,0.01
106,0.01
107,0.01
108,0.01
109,0.01
110,0.01
111,0.01
112,0.01
113,0.01
114,0.01
115,0.01
116,0.01
117,0.01
118,0.01
119,0.1790980392156863
120,0.4327450980392157
121,0.701764705882353
122,0.8016862745098039
123,0.694078431372549
124,0.6479607843137255
125,0.5749411764705882
126,0.4442745098039216
127,0.24443137254901962
128,0.05227450980392157
129,0.01
130,0.01
131,0.01
132,0.01
133,0.01
134,0.01
135,0.01
136,0.01
137,0.01
138,0.01
139,0.01
140,0.01
141,0.01
142,0.01
143,0.01
144,0.01
145,0.01
146,0.01
147,0.32129411764705884
148,0.7863137254901961
149,0.9016078431372548
150,0.8439607843137255
151,0.8478039215686274
152,0.8247450980392157
153,0.99
154,0.8247450980392157
155,0.5134509803921569
156,0.2674901960784314
157,0.01
158,0.01
159,0.01
160,0.01
161,0.01
162,0.01
163,0.01
164,0.01
165,0.01
166,0.01
167,0.01
168,0.01
169,0.01
170,0.01
171,0.01
172,0.01
173,0.01
174,0.01
175,0.32129411764705884
176,0.7709411764705882
177,0.8170588235294117
178,0.5864705882352941
179,0.4788627450980392
180,0.5403529411764706
181,0.5749411764705882
182,0.7325098039215686
183,0.8785490196078432
184,0.6095294117647059
185,0.22905882352941176
186,0.01
187,0.01
188,0.01
189,0.01
190,0.01
191,0.01
192,0.01
193,0.01
194,0.01
195,0.01
196,0.01
197,0.01
198,0.01
199,0.01
200,0.01
201,0.01
202,0.01
203,0.1790980392156863
204,0.3558823529411765
205,0.3558823529411765
206,0.1790980392156863
207,0.01
208,0.01
209,0.05227450980392157
210,0.41352941176470587
211,0.8209019607843137
212,0.8478039215686274
213,0.4327450980392157
214,0.12529411764705883
215,0.01
216,0.01
217,0.01
218,0.01
219,0.01
220,0.01
221,0.01
222,0.01
223,0.01
224,0.01
225,0.01
226,0.01
